index,rooms,metratura,bathrooms,floor,condominium_expenses,date,contract,typology,total_floors,availability,other_features,price,year_of_build,condition,air_conditioning,energy_efficiency,city,neighborhood,car_parking,energy_performance_building,housing units,start_end_works,current_building_use,energy_certification,co2_emissions,elevator,floor_level,heating_centralized,heating_radiator,heating_gas,air_conditiong_centralized,air_conditioning_heat
0,1,45,1,4,100,16/12/2022,sale,apartment | entire property | stately property class,4 floors,libero,porta blindataesposizione internaarmadio a murobalconeimpianto tv centralizzatoparzialmente arredatoinfissi esterni in doppio vetro / pvc,285000,1920,good / habitable,"autonomous, cold/heat",g≥ 175 kwh/m² year,milano,sempione,,,,,,,,1,4,autonomous,to radiators,methane powered,autonomous, cold/hot
0,5,250,3,5,500,11/11/2022,sale,apartment | entire property | stately property class,5 floors,libero,fibra otticaimpianto di allarmeporta blindatabalconeterrazzaportiere mezza giornataimpianto tv centralizzatoparzialmente arredatocantinainfissi esterni in doppio vetro / legnoesposizione doppia,2250000,1950,very good / refurbished,"autonomous, cold/heat",g153.91 kwh/m² year,milano,piave - tricolore,,,,,,,,1,5,centralized,to radiators,gas powered,autonomous, cold/hot
0,2,75,1,4,200,30/01/2023,sale,apartment | entire property | stately property class,4 floors,libero,fibra otticaporta blindataesposizione internabalconeimpianto tv centralizzatoparzialmente arredatocantinainfissi esterni in doppio vetro / pvc,359000,1930,very good / refurbished,"autonomous, cold",f164.7 kwh/m² year,milano,città studi,,,,,,,,0,4,centralized,to radiators,methane powered,autonomous, cold
0,2,55,1,T,125,23/02/2023,sale,apartment | entire property | stately property class,4 floors,,fibra otticaporta blindataimpianto tv centralizzatoparzialmente arredatoinfissi esterni in doppio vetro / pvcesposizione doppia,385000,1930,good / habitable,"autonomous, cold/heat",g175 kwh/m² year,milano,montenero,,,,,,,,1,0,centralized,to radiators,methane powered,autonomous, cold/hot
0,5,240,3+,1,500,22/02/2023,sale,apartment | entire property | stately property class,6 floors,libero,cancello elettricovideocitofonoporta blindatabalconeterrazzaportiere intera giornataimpianto tv centralizzatocantinainfissi esterni in vetro / legnoesposizione doppia,1980000,1930,new / under construction,"autonomous, cold/heat",c65 kwh/m² year,milano,quadronno - crocetta,1 in garage/box,,,,,,,1,1,centralized,to radiators,methane powered,autonomous, cold/hot
0,2,70,1,5,160,21/02/2023,sale,apartment | entire property | stately property class,8 floors,libero,balconeportiere intera giornataimpianto tv centralizzatocantinagiardino comuneinfissi esterni in doppio vetro / legnoesposizione doppia,380000,1960,good / habitable,,g111 kwh/m² year,milano,lodi - brenta,,,,,,,,1,5,centralized,On the floor,gas powered,,
0,4,130,1,5,300,23/02/2023,sale,attic | entire property | stately property class,5 floors,libero,cancello elettricofibra otticaporta blindatabalconeterrazzaportiere mezza giornataimpianto tv centralizzatoparzialmente arredatocantinainfissi esterni in doppio vetro / pvcesposizione doppia,580000,1960,very good / refurbished,"autonomous, cold",e151.66 kwh/m² year,milano,affori,1 in garage/box,,,,,,,1,5,centralized,to radiators,gas powered,autonomous, cold
0,2,50,1,5,70,23/02/2023,sale,apartment | entire property | medium property class,5 floors,libero,cancello elettricofibra otticaimpianto di allarmeporta blindataimpianto tv centralizzatoarredatogiardino comuneinfissi esterni in doppio vetro / pvcesposizione doppia,175000,1920,very good / refurbished,"autonomous, cold/heat",e108.08 kwh/m² year,milano,cimiano,,,,,,,,0,5,autonomous,by air,powered by heat pump,autonomous, cold/hot
0,2,61,1,,150,23/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,cancello elettricofibra otticavideocitofonoimpianto di allarmeporta blindataarmadio a murobalconeterrazzaportiere mezza giornataimpianto tv centralizzatoarredatogiardino comuneinfissi esterni in doppio vetro / legnoesposizione doppia,245000,2005,very good / refurbished,"autonomous, cold/heat",d120 kwh/m² year,milano,san siro,1 in garage/box,,,,,,,1,2,autonomous,to radiators,methane powered,autonomous, cold/hot
0,4,150,2,2,400,15/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,cancello elettricofibra otticaporta blindatabalconeportiere intera giornataimpianto tv centralizzatocantinainfissi esterni in doppio vetro / pvcesposizione doppia,730000,1970,good / habitable,"autonomous, cold",g175.76 kwh/m² year,milano,argonne - corsica,,,,,,,,1,2,centralized,to radiators,methane powered,autonomous, cold
0,3,110,1,2,250,06/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,cancello elettricofibra otticavideocitofonoporta blindataesposizione internabalconeportiere intera giornataimpianto tv centralizzatocantinagiardino comuneinfissi esterni in vetro / pvc,510000,1900,to be restructured,,g≥ 175 kwh/m² year,milano,buenos aires,,,,,,,,1,2,centralized,to radiators,methane powered,,
0,4,185,3,8,700,28/11/2022,sale,apartment | entire property | stately property class,8 floors,libero,cancello elettricocaminettofibra otticaimpianto di allarmeporta blindataesposizione internaarmadio a murobalconeterrazzaportiere intera giornataimpianto tv centralizzatocantinagiardino comuneinfissi esterni in vetro / legno,1980000,1969,good / habitable,"centralized, cold",g301.49 kwh/m² year,milano,porta romana - medaglie d'oro,,,,,,,,1,8,centralized,to radiators,methane powered,centralized, cold
0,3,115,1,7,333,08/02/2023,sale,apartment | entire property | medium property class,7 floors,libero,cancello elettricofibra otticavideocitofonoimpianto di allarmeporta blindataterrazzacantinainfissi esterni in doppio vetro / pvcesposizione doppia,915000,1960,very good / refurbished,"autonomous, cold",e102.46 kwh/m² year,milano,città studi,,,,,,,,1,7,centralized,to radiators,methane powered,autonomous, cold
0,3,90,1,R,167,22/02/2023,sale,apartment | entire property | medium property class,6 floors,libero,cancello elettricofibra otticabalconeportiere intera giornataimpianto tv centralizzatoinfissi esterni in doppio vetro / metalloesposizione doppia,219000,1970,to be restructured,,g310.29 kwh/m² year,milano,crescenzago,"1 in garage/box, 1 all'esterno",,,,,,,1,0,centralized,to radiators,methane powered,,
