metratura,price
70,255000
70,470000
115,435000
90,350000
70,490000
130,439000
155,750000
57,419000
70,295000
100,898000
80,450000
76,340000
91,255000
178,1390000
150,1350000
45,130000
88,177000
130,2800000
41,245000
82,160000
115,399000
110,395000
122,940000
50,248000
90,590000
200,2970000
200,1400000
60,215000
65,198000
90,580000
65,318000
430,3200000
71,219000
102,690000
128,370000
155,795000
80,205000
182,760000
200,1150000
68,169000
100,515000
115,359000
145,480000
75,215000
125,895000
121,441000
32,175000
65,450000
68,330000
139,840000
84,329000
47,139000
82,330000
65,289000
84,680000
90,385000
70,338000
40,190000
110,615000
76,375000
39,148000
107,390000
205,1650000
75,298000
93,315000
240,1660000
115,645000
85,425000
80,195000
500,4450000
207,2290000
114,765000
163,1090000
147,1070000
181,2250000
65,630000
140,1420000
40,310000
80,289000
94,483000
240,4500000
150,845000
80,415000
260,2000000
80,315000
165,1350000
64,250000
72,215000
90,480000
87,359000
129,1096500
103,409000
137,1164500
100,670000
122,475000
165,845000
170,1130000
65,840000
105,299000
35,320000
129,610000
125,790000
110,870000
85,479000
110,490000
162,1600000
50,210000
160,880000
110,525000
120,860000
125,500000
85,320000
120,1050000
110,395000
153,918000
36,200000
80,335000
350,3250000
87,363000
30,210000
220,800000
160,1195000
350,1450000
110,836000
70,215000
200,1040000
80,325000
135,1093500
65,345000
120,850000
190,1100000
70,179000
49,318500
103,824000
28,135000
103,450000
57,260000
110,950000
115,870000
80,415000
97,422000
102,299000
50,380000
72,339000
85,249000
47,198000
41,168000
105,675000
108,489000
210,1740000
105,695000
120,690000
115,675000
100,570000
119,940100
77,225000
158,1295600
45,295000
110,790000
208,1295000
120,435000
220,1650000
158,1290000
55,650000
110,415000
245,2190000
130,950000
70,460000
56,485000
145,1150000
90,199000
65,425000
43,280000
183,1590000
146,1022000
80,390000
115,795000
200,1995000
125,449000
125,850000
120,910000
97,530000
145,990000
80,595000
130,450000
103,782800
64,438000
80,540000
65,269000
140,750000
69,255000
115,1095000
65,169000
78,735000
190,1150000
110,625000
80,248000
55,285000
180,850000
61,350000
55,190000
175,1300000
50,525000
80,445000
110,850000
75,550000
70,395000
135,1499000
100,425000
175,1200000
120,540000
95,260000
80,310000
120,780000
41,210000
100,350000
150,655000
47,235000
27,125000
65,199000
140,500000
100,399000
90,325000
37,420000
85,165000
62,450000
45,325000
50,195000
89,519000
65,320000
95,545000
82,580000
59,398000
51,375000
70,338000
90,280000
130,625000
51,440000
72,355000
